Page,Button Position,Button Icon,Button States,CT Version,Purpose,Multi Action #,Channel,CC,Button Type,Value,Midi Out Port,Midi In Port,Result,Additional Files
A - Decks/Rec,Row 1 Col 1,Pointer,"Deck A,
Deck B,
Deck C,
Deck D",5,"Move the deck focus, for mappings that affect 'Device Target: Focus'",-,10,23,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Deck Focus Selector',"src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/focus-deck.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 2,Right Arrow,"Loop,
BeatJump,
Loop Out,
Loop In",5,Set the move mode,-,10,26,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Mode Selector',"src/streamdeck-xl/icons/button-creator/arrow.turn.up.right.png,
src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-move-mode.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 3,Ruler,"1/32 bar,
1/16 bar,
1/8 bar,
1/4 bar,
1/2 bar,
1 bar,
2 bars,
4 bars,
8 bars,
16 bars,
32 bars",5,Set the size of the loop,-,10,60,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Loop Size Selector',"src/streamdeck-xl/icons/button-creator/ruler.png,
src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 4,Left/Right Columns,"xFine,
Fine,
1/16 bar,
1/8 bar,
1/4 bar,
1/2 bar,
1 bar,
2 bars,
4 bars,
8 bars,
16 bars,
32 bars,
Loop",5,"Set the amount that the loop will be moved, or that the play head will be beatjumped by",-,10,27,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Size Selector',"src/streamdeck-xl/icons/button-creator/arrow.left.and.right.text.vertical.png,
src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-move-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 5,BPM,/2,5,Halve the deck BPM,-,10,58,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'BPM Lock On' to 'off',
Calls Traktor's 'BPM /2'","src/streamdeck-xl/icons/button-creator/bpm.png,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 6,BPM,x2,5,Double the deck BPM,-,10,59,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'BPM Lock On' to 'off',
Calls Traktor's 'BPM x2'","src/streamdeck-xl/icons/button-creator/bpm.png,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 1 Col 7,-,-,-,-,-,-,-,-,-,-,-,-,-
A - Decks/Rec,Row 2 Col 1,Right Arrow Vertical Line,A to B,5,Copy source of Deck A to Deck B,-,10,11,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Duplicate Track Deck A',src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 2 Col 2,Left Arrow Vertical Line,B to A,5,Copy source of Deck B to Deck A,-,10,12,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Duplicate Track Deck B',src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 2 Col 3,Left Arrow Circle,Back,5,"Move loop back, or beatjump back by the specified 'Size Selector'",-,10,28,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Move',"src/streamdeck-xl/icons/button-creator/gobackward.png,
src/traktor/CT6 - Streamdeck XL.tsi"
