Page,Button Position,Button Icon,Button States,CT Version,Purpose,Multi Action #,Channel,CC,Button Type,Value,Midi Out Port,Midi In Port,Result,Additional Files
B - Rmx Deck,Row 1 Col 4,Select,Slot 1-4,5,Click the remix slot to select it,3,-,-,-,-,-,-,"Calls my Stream Deck Clicker plugin, performing a mouse click on 'Remix Deck C Row 1 Slot 4' on a 1366x1024 display",https://github.com/dotherightthing/streamdeck-clicker
B - Rmx Deck,Row 1 Col 5,Ruler,/2,5,"Halve the length of the selected slot, cropping the loaded slot sample",-,10,39,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Halves the size of sample in the selected slot. Uses the value of Traktor's 'Modifier 2' to determine which slot to act upon.,src/traktor/CT6 - Streamdeck XL.tsi
B - Rmx Deck,Row 1 Col 6,Ruler,x2,5,"Double the length of the selected slot, exposing more of the loaded slot sample or adding silence after it",-,10,40,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Doubles the size of sample in the selected slot. Uses the value of Traktor's 'Modifier 2' to determine which slot to act upon.,src/traktor/CT6 - Streamdeck XL.tsi
B - Rmx Deck,Row 1 Col 7,-,-,-,-,-,-,-,-,-,-,-,-,-
B - Rmx Deck,Row 2 Col 1,Select,Slot 2-1,5,Optimise layout for mixing,1,10,31,Push,"0 (On), 127 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Layout Selector' to configured 'Decks' view,"src/traktor/CT6 - App Export.tsi,
src/traktor/CT6 - Streamdeck XL.tsi"
B - Rmx Deck,Row 2 Col 1,Select,Slot 2-1,5,Set the remix slot target for operations 'Slot Size /2' and 'Slot Size x2',2,10,54,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'Modifier 2' (for CT6 - Stream Deck XL) to '4' ('4' = Slot 2-1, '5' = Slot 2-2, '6' = Slot 2-3, '7' = Slot 2-4)",src/traktor/CT6 - Streamdeck XL.tsi
B - Rmx Deck,Row 2 Col 1,Select,Slot 2-1,5,Click the remix slot to select it,3,-,-,-,-,-,-,"Calls my Stream Deck Clicker plugin, performing a mouse click on 'Remix Deck C Row 2 Slot 1' on a 1366x1024 display",https://github.com/dotherightthing/streamdeck-clicker
B - Rmx Deck,Row 2 Col 2,Select,Slot 2-2,5,Optimise layout for mixing,1,10,31,Push,"0 (On), 127 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Layout Selector' to configured 'Decks' view,"src/traktor/CT6 - App Export.tsi,
src/traktor/CT6 - Streamdeck XL.tsi"
B - Rmx Deck,Row 2 Col 2,Select,Slot 2-2,5,Set the remix slot target for operations 'Slot Size /2' and 'Slot Size x2',2,10,55,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'Modifier 2' (for CT6 - Stream Deck XL) to '5' ('4' = Slot 2-1, '5' = Slot 2-2, '6' = Slot 2-3, '7' = Slot 2-4)",src/traktor/CT6 - Streamdeck XL.tsi
B - Rmx Deck,Row 2 Col 2,Select,Slot 2-2,5,Click the remix slot to select it,3,-,-,-,-,-,-,"Calls my Stream Deck Clicker plugin, performing a mouse click on 'Remix Deck C Row 2 Slot 2' on a 1366x1024 display",https://github.com/dotherightthing/streamdeck-clicker
B - Rmx Deck,Row 2 Col 3,Select,Slot 2-3,5,Optimise layout for mixing,1,10,31,Push,"0 (On), 127 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Layout Selector' to configured 'Decks' view,"src/traktor/CT6 - App Export.tsi,
src/traktor/CT6 - Streamdeck XL.tsi"
B - Rmx Deck,Row 2 Col 3,Select,Slot 2-3,5,Set the remix slot target for operations 'Slot Size /2' and 'Slot Size x2',2,10,56,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'Modifier 2' (for CT6 - Stream Deck XL) to '6' ('4' = Slot 2-1, '5' = Slot 2-2, '6' = Slot 2-3, '7' = Slot 2-4)",src/traktor/CT6 - Streamdeck XL.tsi
B - Rmx Deck,Row 2 Col 3,Select,Slot 2-3,5,Click the remix slot to select it,3,-,-,-,-,-,-,"Calls my Stream Deck Clicker plugin, performing a mouse click on 'Remix Deck C Row 2 Slot 3' on a 1366x1024 display",https://github.com/dotherightthing/streamdeck-clicker
B - Rmx Deck,Row 2 Col 4,Select,Slot 2-4,5,Optimise layout for mixing,1,10,31,Push,"0 (On), 127 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Layout Selector' to configured 'Decks' view,"src/traktor/CT6 - App Export.tsi,
src/traktor/CT6 - Streamdeck XL.tsi"
B - Rmx Deck,Row 2 Col 4,Select,Slot 2-4,5,Set the remix slot target for operations 'Slot Size /2' and 'Slot Size x2',2,10,57,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'Modifier 2' (for CT6 - Stream Deck XL) to '7' ('4' = Slot 2-1, '5' = Slot 2-2, '6' = Slot 2-3, '7' = Slot 2-4)",src/traktor/CT6 - Streamdeck XL.tsi
B - Rmx Deck,Row 2 Col 4,Select,Slot 2-4,5,Click the remix slot to select it,3,-,-,-,-,-,-,"Calls my Stream Deck Clicker plugin, performing a mouse click on 'Remix Deck C Row 2 Slot 4' on a 1366x1024 display",https://github.com/dotherightthing/streamdeck-clicker
B - Rmx Deck,Row 2 Col 5,BPM,Slot /2,5,Halve the BPM/tempo of the selected slot sample,-,-,-,-,-,-,-,"Calls my Stream Deck Clicker plugin, performing a mouse click on the Remix Deck control '/2' on a 1366x1024 display",-
B - Rmx Deck,Row 2 Col 6,BPM,Slot x2,5,Double the BPM/tempo of the selected slot sample,-,-,-,-,-,-,-,"Calls my Stream Deck Clicker plugin, performing a mouse click on the Remix Deck control 'x2' on a 1366x1024 display",-
B - Rmx Deck,Row 2 Col 7,-,-,-,-,-,-,-,-,-,-,-,-,-
B - Rmx Deck,Row 3 Col 1,Trigger,From S8,5,Just a reminder to trigger samples from the S8 rather than the Stream Deck,-,-,-,-,-,-,-,-,-
B - Rmx Deck,Row 3 Col 2,Floppy Disk,Rmx Deck,5,Save the current Remix Deck (in Deck C),-,10,25,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Save Remix Set ',src/traktor/CT6 - Streamdeck XL.tsi
B - Rmx Deck,Row 3 Col 3,-,-,-,-,-,-,-,-,-,-,-,-,-
B - Rmx Deck,Row 3 Col 4,-,-,-,-,-,-,-,-,-,-,-,-,-
B - Rmx Deck,Row 3 Col 5,-,-,-,-,-,-,-,-,-,-,-,-,-
B - Rmx Deck,Row 3 Col 6,-,-,-,-,-,-,-,-,-,-,-,-,-
B - Rmx Deck,Row 4 Col 1,-,-,-,-,-,-,-,-,-,-,-,-,-
B - Rmx Deck,Row 4 Col 2,-,-,-,-,-,-,-,-,-,-,-,-,-
B - Rmx Deck,Row 4 Col 3,-,-,-,-,-,-,-,-,-,-,-,-,-
B - Rmx Deck,Row 4 Col 4,-,-,-,-,-,-,-,-,-,-,-,-,-
B - Rmx Deck,Row 4 Col 5,-,-,-,-,-,-,-,-,-,-,-,-,-
B - Rmx Deck,Row 4 Col 6,Arrow With Lines,Global settings,5,Open shared settings for my Stream Deck Clicker plugin,-,-,-,-,-,-,-,-,-
C - Browser,Row 1 Col 1,Up Arrow,Top,5,Move up one row (hold to repeat action),-,10,8,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Selected Up/Down (Browser.List)' (Up),src/traktor/CT6 - Streamdeck XL.tsi
C - Browser,Row 1 Col 1,Up Arrow,Top,5,Move to top row (SHIFTed function),-,10,8,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Select Top/Bottom' (Top),src/traktor/CT6 - Streamdeck XL.tsi
C - Browser,Row 1 Col 2,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 1 Col 3,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 1 Col 4,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 1 Col 5,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 1 Col 6,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 1 Col 7,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 2 Col 1,Play Arrow,Preview,5,Preview the selected track,-,10,33,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Load Selected (Preview Player)',src/traktor/CT6 - Streamdeck XL.tsi
C - Browser,Row 2 Col 2,Plus Sign,Prep List,5,Add selected track to Preparation List,-,10,34,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Append to Preparation List',src/traktor/CT6 - Streamdeck XL.tsi
C - Browser,Row 2 Col 3,Down Arrow Horizontal Line,To C,5,Load selected track (Remix Set) into Deck C (Remix Deck),-,10,47,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Load Selected (Deck Common)' (Deck C),src/traktor/CT6 - Streamdeck XL.tsi
C - Browser,Row 2 Col 4,Left Arrow Vertical Line,To A,5,Load selected track into Deck A,-,10,10,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Load Selected (Deck Common)' (Deck A),src/traktor/CT6 - Streamdeck XL.tsi
C - Browser,Row 2 Col 5,Right Arrow Vertical Line,To B,5,Load selected track into Deck B,-,10,20,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Load Selected (Deck Common)' (Deck B),src/traktor/CT6 - Streamdeck XL.tsi
C - Browser,Row 2 Col 6,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 2 Col 7,Folder,"-,
Prep List,
Playlists
Collection,
All Tracks,
History,
Rmx Sets,
Mix Recs,
Loop Recs",5,Select a browser folder,-,10,35,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's 'Selector',"src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/favourites.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
C - Browser,Row 3 Col 1,Down Arrow,Bottom,5,Move down one row (hold to repeat action),-,10,9,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Selected Up/Down (Browser.List)' (Down),src/traktor/CT6 - Streamdeck XL.tsi
C - Browser,Row 3 Col 1,Down Arrow,Bottom,5,Move to bottom row (SHIFTed function),-,10,9,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Select Top/Bottom' (Bottom),src/traktor/CT6 - Streamdeck XL.tsi
C - Browser,Row 3 Col 2,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 3 Col 3,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 3 Col 4,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 3 Col 5,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 3 Col 6,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 4 Col 2,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 4 Col 3,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 4 Col 4,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 4 Col 5,-,-,-,-,-,-,-,-,-,-,-,-,-
C - Browser,Row 4 Col 6,-,-,-,-,-,-,-,-,-,-,-,-,-
D - Settings,Row 1 Col 1,TR,Open,5,TODO,,,,,,,,,
D - Settings,Row 1 Col 2,TR,Settings,5,TODO,,,,,,,,,
D - Settings,Row 1 Col 3,Tooltip,Hide,5,TODO,,,,,,,,,
D - Settings,Row 1 Col 4,Play Pause,Sync,5,TODO,,,,,,,,,
D - Settings,Row 1 Col 5,-,-,-,-,-,-,-,-,-,-,-,-,-
D - Settings,Row 1 Col 6,-,-,-,-,-,-,-,-,-,-,-,-,-
D - Settings,Row 1 Col 7,-,-,-,-,-,-,-,-,-,-,-,-,-
D - Settings,Row 2 Col 1,Live,CT6,6,Launch CT6 set,-,-,-,-,-,-,-,-,-
D - Settings,Row 2 Col 2,Stream Deck Grid,Config,5,Open Stream Deck app,-,-,-,-,-,-,-,-,-
D - Settings,Row 2 Col 3,Code Brackets,Edit,5,Open Terminal app,1,-,-,-,-,-,-,-,-
